District,Financial_Year,Expenditure_Crore
Anantapur,2016-17,422.88
Anantapur,2017-18,595.25
Anantapur,2018-19,663.15
Anantapur,2019-20,510.14
Anantapur,2020-21,945.32
Anantapur,2021-22,831.44
Chittoor,2016-17,323.19
Chittoor,2017-18,500.29
Chittoor,2018-19,594.34
Chittoor,2019-20,368.71
Chittoor,2020-21,800.89
Chittoor,2021-22,581.64
East Godavari,2016-17,408.7
East Godavari,2017-18,594.46
East Godavari,2018-19,799.44
East Godavari,2019-20,578.1
East Godavari,2020-21,922.01
East Godavari,2021-22,592.47
Guntur,2016-17,206.3
Guntur,2017-18,358.47
Guntur,2018-19,493.84
Guntur,2019-20,242.66
Guntur,2020-21,441.47
Guntur,2021-22,582.75
Kadapa,2016-17,278.66
Kadapa,2017-18,374.83
Kadapa,2018-19,513.93
Kadapa,2019-20,400.29
Kadapa,2020-21,657.51
Kadapa,2021-22,529.82
Krishna,2016-17,177.31
Krishna,2017-18,241.61
Krishna,2018-19,444.11
Krishna,2019-20,219.84
Krishna,2020-21,468.55
Krishna,2021-22,512.2
Kurnool,2016-17,357.45
Kurnool,2017-18,357.39
Kurnool,2018-19,614.66
Kurnool,2019-20,363.45
Kurnool,2020-21,577.64
Kurnool,2021-22,473.2
Prakasam,2016-17,482.95
Prakasam,2017-18,560.7
Prakasam,2018-19,929.14
Prakasam,2019-20,569.99
Prakasam,2020-21,1055.8
Prakasam,2021-22,707.89
S.P.S Nellore,2016-17,259.05
S.P.S Nellore,2017-18,331.51
S.P.S Nellore,2018-19,479.12
S.P.S Nellore,2019-20,259.04
S.P.S Nellore,2020-21,479.91
S.P.S Nellore,2021-22,359.52
Srikakulam,2016-17,353.53
Srikakulam,2017-18,559.63
Srikakulam,2018-19,619.69
Srikakulam,2019-20,650.76
Srikakulam,2020-21,919.24
Srikakulam,2021-22,649.21
Visakhapatnam,2016-17,469.47
Visakhapatnam,2017-18,674.97
Visakhapatnam,2018-19,661.08
Visakhapatnam,2019-20,611.44
Visakhapatnam,2020-21,919.37
Visakhapatnam,2021-22,607.39
Vizianagaram,2016-17,450.95
Vizianagaram,2017-18,533.14
Vizianagaram,2018-19,625.06
Vizianagaram,2019-20,719.0
Vizianagaram,2020-21,985.64
Vizianagaram,2021-22,733.16
West Godavari,2016-17,289.85
West Godavari,2017-18,436.67
West Godavari,2018-19,568.52
West Godavari,2019-20,354.6
West Godavari,2020-21,683.91
West Godavari,2021-22,533.22
