SI. No.,District,Expenditure (Rs. in crore) - FY 2016-17,Expenditure (Rs. in crore) - FY 2017-18,Expenditure (Rs. in crore) - FY 2018-19,Expenditure (Rs. in crore) - FY 2019-20,Expenditure (Rs. in crore) - FY 2020-21,Expenditure (Rs. in crore) - FY 2021-22 
1,Anantapur,422.88,595.25,663.15,510.14,945.32,831.44
2,Chittoor,323.19,500.29,594.34,368.71,800.89,581.64
3,East Godavari,408.7,594.46,799.44,578.1,922.01,592.47
4,Guntur,206.3,358.47,493.84,242.66,441.47,582.75
5,Kadapa,278.66,374.83,513.93,400.29,657.51,529.82
6,Krishna,177.31,241.61,444.11,219.84,468.55,512.2
7,Kurnool,357.45,357.39,614.66,363.45,577.64,473.2
8,Prakasam,482.95,560.7,929.14,569.99,1055.8,707.89
9,S.P.S Nellore,259.05,331.51,479.12,259.04,479.91,359.52
10,Srikakulam,353.53,559.63,619.69,650.76,919.24,649.21
11,Visakhapatnam,469.47,674.97,661.08,611.44,919.37,607.39
12,Vizianagaram,450.95,533.14,625.06,719,985.64,733.16
13,West Godavari,289.85,436.67,568.52,354.6,683.91,533.22
